screen_id,module_id,module_name,screen_kind,route,title,description,required_data,required_states,required_components,must_not_show
SCR-001,company_dashboard,Company Dashboard,dashboard,/staff/dashboard,Company Dashboard,Command center with safe summary widgets,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-002,company_dashboard,Company Dashboard,alerts,/staff/dashboard/alerts,Dashboard Alerts,Alert and incident summary panel,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-003,staff_users,Staff Users,list,/staff/staff-users,Staff Users List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-004,staff_users,Staff Users,detail,/staff/staff-users/[id],Staff Users Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-005,staff_users,Staff Users,action,/staff/staff-users/[id]/actions/[action],Staff Users Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-006,roles_permissions,Roles & Permissions,list,/staff/roles-permissions,Roles & Permissions List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-007,roles_permissions,Roles & Permissions,detail,/staff/roles-permissions/[id],Roles & Permissions Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-008,roles_permissions,Roles & Permissions,action,/staff/roles-permissions/[id]/actions/[action],Roles & Permissions Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-009,school_crm,School CRM,list,/staff/school-crm,School CRM List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-010,school_crm,School CRM,detail,/staff/school-crm/[id],School CRM Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-011,school_crm,School CRM,action,/staff/school-crm/[id]/actions/[action],School CRM Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-012,school_crm,School CRM,pipeline,/staff/school-crm/pipeline,School CRM Pipeline,Stage/kanban pipeline,actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-013,school_onboarding_ops,School Onboarding Ops,list,/staff/school-onboarding-ops,School Onboarding Ops List,"Queue/list view with filters, status and actions",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-014,school_onboarding_ops,School Onboarding Ops,detail,/staff/school-onboarding-ops/[id],School Onboarding Ops Detail,"Detail view with safe summary, status, actions and audit timeline",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
SCR-015,school_onboarding_ops,School Onboarding Ops,action,/staff/school-onboarding-ops/[id]/actions/[action],School Onboarding Ops Action,"Action form/panel with validation, reason, approval and confirmation",actor session; module permission; module records; field masking profile; audit timeline for detail/action,loading; empty; ready; validation_error; access_denied; server_error,PageHeader; StatusBadge; Table/CardList; ActionPanel; AuditTimeline; EmptyState; ErrorState,raw private file URL; provider payload; raw OMR; answer key unless authorized; other-school records
