question_id,section_code,section_title,question,answer_source_of_truth,decision,affected_company_portal_modules,priority,status,module_generation_rule,claude_status,claude_capability,claude_layer,claude_evidence
1,A,Company Portal Scope,What is the official name of the internal company portal?,The internal company portal will be called Versa Company Portal for now. Alternate UI label: Versa Operations Console. The product/spec module namespace will use company_portal.,Use Versa Company Portal as business name and company_portal as namespace.,company_dashboard; admin_settings,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
2,A,Company Portal Scope,"Is this portal only for Versa staff, or also for vendors, evaluators, printers, courier partners, and finance users?","MVP is for internal Versa/Fintermatics staff only. External vendors, evaluators, printers and courier partners may be represented as records and limited future users, but not full portal users in MVP.",Internal-staff-only MVP; prepare extensibility for vendor/evaluator restricted access later.,staff_users; roles_permissions; admin_settings,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,courier,logic,courier_ops CRUD + dispatch/receive transitions + reconcileCount (shortage/excess/approval) + UI; tested.
3,A,Company Portal Scope,"Should the company portal be separate from the school portal, or one app with role-based views?","Use one application platform with strict role-based views and separate route groups: /staff/* for company portal, /school/* for school portal, /verify/* for public verification. Do not mix layouts or permissions.","One app, separated by route groups and permissions.",roles_permissions; company_dashboard; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
4,A,Company Portal Scope,"Should staff log in using email/password, Google login, magic link, OTP, or admin-created accounts?",MVP: admin-created staff accounts with email login/magic link or password depending Directus/Auth setup. Google login can be enabled later for company domain users. OTP can be reserved for high-risk approval actions.,Admin-created invite-only accounts; email login/magic link MVP; Google SSO later; OTP later for high-risk approvals.,staff_users; roles_permissions; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GAP,authentication / invite flow,none,DEFERRED (auth done last). No login/invite/session route exists; dev-auth fallback (NODE_ENV-gated).
5,A,Company Portal Scope,Should company staff access be invite-only?,Yes. All company staff access must be invite-only. No open staff self-registration.,Invite-only only.,staff_users; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GAP,authentication / invite flow,none,DEFERRED (auth done last). No login/invite/session route exists; dev-auth fallback (NODE_ENV-gated).
6,A,Company Portal Scope,"Should any staff self-register, or only admins create them?",Only Super Admin or Company Admin can create/invite staff. Self-registration is disabled for staff.,No staff self-registration.,staff_users,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GAP,authentication / invite flow,none,DEFERRED (auth done last). No login/invite/session route exists; dev-auth fallback (NODE_ENV-gated).
7,A,Company Portal Scope,Should every staff action be audited?,Yes. All create/update/status/approval/export/login/security-sensitive actions must be audited. Read actions for highly sensitive data should also be audited. Low-risk normal reads can be sampled or excluded unless required.,Audit all staff actions that change data or access sensitive records.,security_audit_console; staff_users; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,audit,logic,"append-only hash-chained audit (0006/0007 trigger BLOCKS update+delete, verified on Supabase); wired in routeHandlers+jobs."
8,A,Company Portal Scope,"Should staff access be restricted by department, role, location, or assigned schools?","Yes. Access is restricted by role, department and assigned scope. Sales/support/operations executives may be assigned schools, regions, olympiads or queues. Admin roles can view all.",Use role + department + assignment scope model.,roles_permissions; staff_users; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
9,A,Company Portal Scope,"Should the portal support multiple companies/entities later, or only one company now?","MVP supports one company entity. Schema should include optional organization_id/company_id fields only where future multi-tenant support is low-cost, but do not overcomplicate MVP.",Single-company MVP with future-friendly namespace.,admin_settings; roles_permissions,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
10,A,Company Portal Scope,What is the minimum MVP scope for company portal?,"MVP must include dashboard, staff users, roles/permissions, school CRM, school onboarding ops, student roster ops, finance ops, exam slot ops, exam material ops, courier ops, evaluation ops, results ops, certificate ops, notification ops, support tickets, task work queue, reports/exports, admin settings and security/audit console. Modules are generated one by one as semantic specs.","Generate company portal as modular internal operations system, not as one monolith.",company_dashboard; staff_users; roles_permissions; school_crm; support_tickets; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
