section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
06 Features,school_registration,06.001,What is feature 'School Registration' purpose?,Capture school interest/registration and create a participation record.,feature,MVP,school_coordinator,"schools,participations",school_onboarding,,Public invite or controlled registration token; public form must not expose existing school data.,Implement feature module school_registration with server-side business rules.,Feature smoke test verifies School Registration happy path.,Yes
06 Features,school_registration,06.002,What inputs does 'School Registration' require?,"school name, board, city, state, coordinator name/email/mobile, olympiad selection, estimated students, consent declaration acceptance",feature_input,MVP,school_coordinator,"schools,participations",school_onboarding,,sensitive,Create form/API input contract for school_registration.,Validate required inputs and invalid input errors.,Yes
06 Features,school_registration,06.003,What outputs does 'School Registration' produce?,"school record, participation record, registration_received status, acknowledgement notification",feature_output,MVP,school_coordinator,"schools,participations",school_onboarding,,internal,Create output/status updates for school_registration.,Verify expected record/status changes.,Yes
06 Features,school_registration,06.004,What gates/validations apply to 'School Registration'?,"Valid coordinator email, no duplicate active school registration for same olympiad, required terms accepted",feature_gate,MVP,school_coordinator,"schools,participations",school_onboarding,,restricted,Enforce gates server-side for school_registration.,Run negative tests for gate failure cases.,Yes
06 Features,school_registration,06.005,What security rule applies to 'School Registration'?,Public invite or controlled registration token; public form must not expose existing school data.,feature_security,MVP,school_coordinator,"schools,participations",school_onboarding,,restricted,Implement security control for school_registration.,Run permission/isolation test for this feature.,Yes
06 Features,school_approval,06.006,What is feature 'School Approval' purpose?,Approve a registered school and enable coordinator portal access.,feature,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,Approval action audited; school user scoped to one school_id.,Implement feature module school_approval with server-side business rules.,Feature smoke test verifies School Approval happy path.,Yes
06 Features,school_approval,06.007,What inputs does 'School Approval' require?,"registration record, approval notes, coordinator identity",feature_input,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,sensitive,Create form/API input contract for school_approval.,Validate required inputs and invalid input errors.,Yes
06 Features,school_approval,06.008,What outputs does 'School Approval' produce?,"approved school, active/invited coordinator user, students_open status",feature_output,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,internal,Create output/status updates for school_approval.,Verify expected record/status changes.,Yes
06 Features,school_approval,06.009,What gates/validations apply to 'School Approval'?,"Only operations_staff, finverse_admin, or system_admin can approve; duplicate school review completed",feature_gate,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,restricted,Enforce gates server-side for school_approval.,Run negative tests for gate failure cases.,Yes
06 Features,school_approval,06.010,What security rule applies to 'School Approval'?,Approval action audited; school user scoped to one school_id.,feature_security,MVP,operations_staff,"schools,participations,school_users",school_onboarding,,restricted,Implement security control for school_approval.,Run permission/isolation test for this feature.,Yes
06 Features,coordinator_login,06.011,What is feature 'School Coordinator Login' purpose?,Allow a school coordinator to access the school portal.,feature,MVP,school_coordinator,"school_users,directus_users",authentication,,HTTP-only cookies or secure token handling; no Directus admin token in browser.,Implement feature module coordinator_login with server-side business rules.,Feature smoke test verifies School Coordinator Login happy path.,Yes
06 Features,coordinator_login,06.012,What inputs does 'School Coordinator Login' require?,email/password or invite token/password reset flow,feature_input,MVP,school_coordinator,"school_users,directus_users",authentication,,sensitive,Create form/API input contract for coordinator_login.,Validate required inputs and invalid input errors.,Yes
06 Features,coordinator_login,06.013,What outputs does 'School Coordinator Login' produce?,"secure session, role scope, school dashboard access",feature_output,MVP,school_coordinator,"school_users,directus_users",authentication,,internal,Create output/status updates for coordinator_login.,Verify expected record/status changes.,Yes
06 Features,coordinator_login,06.014,What gates/validations apply to 'School Coordinator Login'?,User must be active and linked to one approved school.,feature_gate,MVP,school_coordinator,"school_users,directus_users",authentication,,restricted,Enforce gates server-side for coordinator_login.,Run negative tests for gate failure cases.,Yes
