effect_id,module_id,module_name,action_id,action_label,actor,source_screen,api_or_worker,preconditions,validation,server_effect,records_created,records_updated,audit_event,downstream_effect,ui_result,error_states,guardrails,high_risk,journey_test_id
FX-001,company_dashboard,Company Dashboard,view_dashboard,View operations dashboard,Authorized Staff,Company Dashboard - View operations dashboard,GET /api/staff/company-dashboard,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",safe summary widgets update,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.view_dashboard,dashboard/task/job/notification/portal state updates where applicable,dashboard loads counts and alerts,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-001
FX-002,company_dashboard,Company Dashboard,drilldown_widget,Open widget drilldown,Authorized Staff,Company Dashboard - Open widget drilldown,GET source module route,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",source module permission rechecked,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.drilldown_widget,dashboard/task/job/notification/portal state updates where applicable,module list/detail opens,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-002
FX-003,company_dashboard,Company Dashboard,dismiss_alert,Dismiss dashboard alert,Authorized Staff,Company Dashboard - Dismiss dashboard alert,POST /alerts/{id}/dismiss,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",user alert dismissal created,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.dismiss_alert,dashboard/task/job/notification/portal state updates where applicable,alert hidden for actor only,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-003
FX-004,company_dashboard,Company Dashboard,acknowledge_incident_alert,Acknowledge critical alert,Authorized Staff,Company Dashboard - Acknowledge critical alert,POST /alerts/{id}/acknowledge,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",task/incident acknowledgement recorded,as defined by module action and effect chain,source entity status/data plus downstream records,company_dashboard.acknowledge_incident_alert,dashboard/task/job/notification/portal state updates where applicable,alert shows acknowledged,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-004
FX-005,staff_users,Staff Users,invite_staff,Invite staff user,Authorized Staff,Staff Users - Invite staff user,POST /staff-users/invitations,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",invitation created and notification queued,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.invite_staff,dashboard/task/job/notification/portal state updates where applicable,pending invite visible,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-005
FX-006,staff_users,Staff Users,accept_invite,Accept staff invite,Authorized Staff,Staff Users - Accept staff invite,POST /invite/accept,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",staff activated and invite consumed,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.accept_invite,dashboard/task/job/notification/portal state updates where applicable,staff can access allowed routes,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,False,JRN-006
FX-007,staff_users,Staff Users,disable_staff,Disable staff user,Authorized Staff,Staff Users - Disable staff user,POST /staff-users/{id}/disable,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",staff disabled and sessions revoked,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.disable_staff,dashboard/task/job/notification/portal state updates where applicable,access blocked,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-007
FX-008,staff_users,Staff Users,revoke_sessions,Revoke staff sessions,Authorized Staff,Staff Users - Revoke staff sessions,POST /staff-users/{id}/revoke-sessions,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",sessions invalidated,as defined by module action and effect chain,source entity status/data plus downstream records,staff_users.revoke_sessions,dashboard/task/job/notification/portal state updates where applicable,user must login again,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-008
FX-009,roles_permissions,Roles & Permissions,request_role_change,Request role/scope change,Authorized Staff,Roles & Permissions - Request role/scope change,POST /roles-permissions/change-requests,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",approval request created,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.request_role_change,dashboard/task/job/notification/portal state updates where applicable,appears in approval queue,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-009
FX-010,roles_permissions,Roles & Permissions,approve_role_change,Approve role/scope change,Authorized Staff,Roles & Permissions - Approve role/scope change,POST /change-requests/{id}/approve,"auth, role/scope, lifecycle state, feature flag if configured, approval if high-risk","input schema, server-side role/scope, idempotency for writes, lifecycle guard",role/scope updated,as defined by module action and effect chain,source entity status/data plus downstream records,roles_permissions.approve_role_change,dashboard/task/job/notification/portal state updates where applicable,permissions change after refresh,"401 auth, 403 access denied, 409 idempotency conflict, 422 validation/lifecycle, 500 safe server error",no browser-trusted role/scope/school_id/status/payment/approval; no raw private file URL; sensitive fields masked,True,JRN-010
