artifact_id,artifact_path,artifact_type,artifact_family,status,source_sections,source_modules,source_decision_types,row_filter_logic,generation_rule,target_consumer,dependencies,priority,review_required,notes
MAP_ARTIFACT_GENERATION_CSV,/artifact_generation_map.csv,csv,maps,COMPLETED,generated in step 2,n/a,n/a,all planned artifacts,CSV version of artifact generation map.,User; Codex/Claude Code,master CSV,MVP,No,Created in this step.
MAP_ARTIFACT_GENERATION_JSON,/artifact_generation_map.json,json,maps,COMPLETED,generated in step 2,n/a,n/a,all planned artifacts,Machine-readable map of all target artifacts and source filters.,Codex/Claude Code,master CSV,MVP,No,Created in this step.
REPORT_COMPLETED_PENDING_MD,/reports/completed_pending_summary.md,md,reports,COMPLETED,derived from workflow state,n/a,n/a,merge completed; artifact map completed; JSON/MD pack pending; ZIP pending,Write status report with completed/pending summary and next steps.,User; Codex/Claude Code,artifact_generation_map,MVP,No,Created in this step.
CORE_ACTORS_JSON,/spec/core/actors.json,json,core,PENDING,02 Actors,actors,actor_definition; auth_requirement; ux_requirement; permission_scope; negative_requirement,section == '02 Actors',"Group rows by actor; generate actor objects with type, login requirement, dashboard requirement, data scope, allowed creates and forbidden actions.",Codex/Claude Code,CORE_PROJECT_JSON,MVP,Yes,"Used by roles, workflows, screens and tests."
CORE_BUSINESS_CONTEXT_MD,/spec/core/business_context.md,md,core,PENDING,01 Business Context,business_context,business_rule,section == '01 Business Context',"Write a concise BRD narrative using each question/answer row, preserving IDs as traceable anchors.",Codex/Claude Code,CORE_PROJECT_JSON,MVP,Yes,Human-readable context for agents.
CORE_DICTIONARY_JSON,/spec/core/dictionary.json,json,core,PENDING,04 Domain Dictionary; 13 Files and Documents,domain_dictionary; all document modules,dictionary; document,section == '04 Domain Dictionary' OR (section == '13 Files and Documents' AND decision_type == 'document'),"Generate canonical business dictionary with terms, types, definitions, identifiers, mapped entities and document terms.",Codex/Claude Code,CORE_PROJECT_JSON,MVP,Yes,ISO 20022-inspired business/data dictionary.
CORE_INTEGRATIONS_JSON,/spec/core/integrations.json,json,core,PENDING,12 Integrations,all integration modules,integration; integration_priority; integration_direction; integration_security,section == '12 Integrations',"Group integration rows by module; generate integration registry with purpose, priority, data direction, auth/security and tests.",Codex/Claude Code,CORE_PROJECT_JSON; SECURITY_SECRETS_POLICY_JSON,MVP,Yes,Runtime + development tool integrations.
CORE_PERMISSIONS_JSON,/spec/core/permissions.json,json,core,PENDING,03 Roles and Permissions,permission_rules; roles,permission; security_rule,section == '03 Roles and Permissions',Generate permission rules and negative access policies; include public access restrictions and delete restrictions.,Codex/Claude Code,CORE_ROLES_JSON; SECURITY_ACCESS_MATRIX_JSON,MVP,Yes,Can be converted into Directus permissions.
CORE_PROJECT_JSON,/spec/core/project.json,json,core,PENDING,00 Project Manifest,project_identity; modularity; security_baseline,identity; ownership; scope; architecture; deployment; standard; governance; security; milestone; privacy; build_runbook,section == '00 Project Manifest',"Convert project identity, architecture, scope, modularity, versioning, security baseline, milestones and build approach rows into a single project manifest object.",Codex/Claude Code,none,MVP,Yes,Root config consumed by all later artifacts.
CORE_ROLES_JSON,/spec/core/roles.json,json,core,PENDING,03 Roles and Permissions,roles,permission,section == '03 Roles and Permissions' AND module == 'roles',"Group rows by actor/role; generate role definitions with scope, collection access, field restrictions and policy summary.",Codex/Claude Code,CORE_ACTORS_JSON,MVP,Yes,Role definitions before access matrix.
